profile_id,rail_id,rank,show_id,reason
profile_alex,binge,1,show_169,Matched rail tag binge
profile_alex,binge,2,show_180,Matched rail tag binge
profile_alex,binge,3,show_82,Matched rail tag binge
profile_alex,binge,4,show_179,Matched rail tag binge
profile_alex,binge,5,show_2,Matched rail tag binge
profile_alex,binge,6,show_204,Matched rail tag binge
profile_alex,binge,7,show_206,Matched rail tag binge
profile_alex,binge,8,show_118,Matched rail tag binge
profile_alex,binge,9,show_166,Matched rail tag binge
profile_alex,binge,10,show_106,Matched rail tag binge
profile_alex,binge,11,show_251,Matched rail tag binge
profile_alex,binge,12,show_32,Matched rail tag binge
profile_alex,drama,1,show_169,Matched rail tag drama
profile_alex,drama,2,show_180,Matched rail tag drama
profile_alex,drama,3,show_82,Matched rail tag drama
profile_alex,drama,4,show_179,Matched rail tag drama
profile_alex,drama,5,show_118,Matched rail tag drama
profile_alex,drama,6,show_166,Matched rail tag drama
profile_alex,drama,7,show_106,Matched rail tag drama
profile_alex,drama,8,show_251,Matched rail tag drama
profile_alex,drama,9,show_32,Matched rail tag drama
profile_alex,drama,10,show_158,Matched rail tag drama
profile_alex,drama,11,show_61,Matched rail tag drama
profile_alex,drama,12,show_164,Matched rail tag drama
profile_alex,new_release,1,show_1,Matched rail tag new_release
profile_alex,new_release,2,show_10,Matched rail tag new_release
profile_alex,new_release,3,show_100,Matched rail tag new_release
profile_alex,new_release,4,show_101,Matched rail tag new_release
profile_alex,new_release,5,show_102,Matched rail tag new_release
profile_alex,new_release,6,show_103,Matched rail tag new_release
profile_alex,new_release,7,show_104,Matched rail tag new_release
profile_alex,new_release,8,show_105,Matched rail tag new_release
profile_alex,new_release,9,show_106,Matched rail tag new_release
profile_alex,new_release,10,show_107,Matched rail tag new_release
profile_alex,new_release,11,show_108,Matched rail tag new_release
profile_alex,new_release,12,show_109,Matched rail tag new_release
profile_alex,sci_fi,1,show_180,Matched rail tag sci_fi
profile_alex,sci_fi,2,show_82,Matched rail tag sci_fi
profile_alex,sci_fi,3,show_2,Matched rail tag sci_fi
profile_alex,sci_fi,4,show_204,Matched rail tag sci_fi
profile_alex,sci_fi,5,show_206,Matched rail tag sci_fi
profile_alex,sci_fi,6,show_216,Matched rail tag sci_fi
profile_alex,sci_fi,7,show_40,Matched rail tag sci_fi
profile_alex,sci_fi,8,show_166,Matched rail tag sci_fi
profile_alex,sci_fi,9,show_158,Matched rail tag sci_fi
profile_alex,sci_fi,10,show_61,Matched rail tag sci_fi
profile_alex,sci_fi,11,show_305,Matched rail tag sci_fi
profile_alex,sci_fi,12,show_64,Matched rail tag sci_fi
profile_alex,trending,1,show_169,Matched rail tag trending
profile_alex,trending,2,show_180,Matched rail tag trending
profile_alex,trending,3,show_82,Matched rail tag trending
profile_alex,trending,4,show_179,Matched rail tag trending
profile_alex,trending,5,show_2,Matched rail tag trending
profile_alex,trending,6,show_204,Matched rail tag trending
profile_alex,trending,7,show_206,Matched rail tag trending
profile_alex,trending,8,show_216,Matched rail tag trending
profile_alex,trending,9,show_40,Matched rail tag trending
profile_alex,trending,10,show_118,Matched rail tag trending
profile_alex,trending,11,show_166,Matched rail tag trending
profile_alex,trending,12,show_106,Matched rail tag trending
profile_liam,binge,1,show_169,Matched rail tag binge
profile_liam,binge,2,show_179,Matched rail tag binge
profile_liam,binge,3,show_180,Matched rail tag binge
profile_liam,binge,4,show_82,Matched rail tag binge
profile_liam,binge,5,show_118,Matched rail tag binge
profile_liam,binge,6,show_2,Matched rail tag binge
profile_liam,binge,7,show_204,Matched rail tag binge
profile_liam,binge,8,show_206,Matched rail tag binge
profile_liam,binge,9,show_106,Matched rail tag binge
profile_liam,binge,10,show_166,Matched rail tag binge
profile_liam,binge,11,show_251,Matched rail tag binge
profile_liam,binge,12,show_32,Matched rail tag binge
profile_liam,drama,1,show_169,Matched rail tag drama
profile_liam,drama,2,show_179,Matched rail tag drama
profile_liam,drama,3,show_180,Matched rail tag drama
profile_liam,drama,4,show_82,Matched rail tag drama
profile_liam,drama,5,show_118,Matched rail tag drama
profile_liam,drama,6,show_106,Matched rail tag drama
profile_liam,drama,7,show_166,Matched rail tag drama
profile_liam,drama,8,show_251,Matched rail tag drama
profile_liam,drama,9,show_32,Matched rail tag drama
profile_liam,drama,10,show_158,Matched rail tag drama
profile_liam,drama,11,show_164,Matched rail tag drama
profile_liam,drama,12,show_29,Matched rail tag drama
profile_liam,new_release,1,show_1,Matched rail tag new_release
profile_liam,new_release,2,show_10,Matched rail tag new_release
profile_liam,new_release,3,show_100,Matched rail tag new_release
profile_liam,new_release,4,show_101,Matched rail tag new_release
profile_liam,new_release,5,show_102,Matched rail tag new_release
profile_liam,new_release,6,show_103,Matched rail tag new_release
profile_liam,new_release,7,show_104,Matched rail tag new_release
profile_liam,new_release,8,show_105,Matched rail tag new_release
profile_liam,new_release,9,show_106,Matched rail tag new_release
profile_liam,new_release,10,show_107,Matched rail tag new_release
profile_liam,new_release,11,show_108,Matched rail tag new_release
profile_liam,new_release,12,show_109,Matched rail tag new_release
profile_liam,sci_fi,1,show_180,Matched rail tag sci_fi
profile_liam,sci_fi,2,show_82,Matched rail tag sci_fi
profile_liam,sci_fi,3,show_2,Matched rail tag sci_fi
profile_liam,sci_fi,4,show_204,Matched rail tag sci_fi
profile_liam,sci_fi,5,show_206,Matched rail tag sci_fi
profile_liam,sci_fi,6,show_216,Matched rail tag sci_fi
profile_liam,sci_fi,7,show_40,Matched rail tag sci_fi
profile_liam,sci_fi,8,show_166,Matched rail tag sci_fi
profile_liam,sci_fi,9,show_158,Matched rail tag sci_fi
profile_liam,sci_fi,10,show_61,Matched rail tag sci_fi
profile_liam,sci_fi,11,show_64,Matched rail tag sci_fi
profile_liam,sci_fi,12,show_305,Matched rail tag sci_fi
profile_liam,trending,1,show_169,Matched rail tag trending
profile_liam,trending,2,show_179,Matched rail tag trending
profile_liam,trending,3,show_180,Matched rail tag trending
profile_liam,trending,4,show_82,Matched rail tag trending
profile_liam,trending,5,show_118,Matched rail tag trending
profile_liam,trending,6,show_2,Matched rail tag trending
profile_liam,trending,7,show_204,Matched rail tag trending
profile_liam,trending,8,show_206,Matched rail tag trending
profile_liam,trending,9,show_216,Matched rail tag trending
profile_liam,trending,10,show_40,Matched rail tag trending
profile_liam,trending,11,show_106,Matched rail tag trending
profile_liam,trending,12,show_166,Matched rail tag trending
profile_mia,binge,1,show_169,Matched rail tag binge
profile_mia,binge,2,show_179,Matched rail tag binge
profile_mia,binge,3,show_180,Matched rail tag binge
profile_mia,binge,4,show_82,Matched rail tag binge
profile_mia,binge,5,show_118,Matched rail tag binge
profile_mia,binge,6,show_2,Matched rail tag binge
profile_mia,binge,7,show_204,Matched rail tag binge
profile_mia,binge,8,show_206,Matched rail tag binge
profile_mia,binge,9,show_106,Matched rail tag binge
profile_mia,binge,10,show_166,Matched rail tag binge
profile_mia,binge,11,show_251,Matched rail tag binge
profile_mia,binge,12,show_32,Matched rail tag binge
profile_mia,drama,1,show_169,Matched rail tag drama
profile_mia,drama,2,show_179,Matched rail tag drama
profile_mia,drama,3,show_180,Matched rail tag drama
profile_mia,drama,4,show_82,Matched rail tag drama
profile_mia,drama,5,show_118,Matched rail tag drama
profile_mia,drama,6,show_106,Matched rail tag drama
profile_mia,drama,7,show_166,Matched rail tag drama
profile_mia,drama,8,show_251,Matched rail tag drama
profile_mia,drama,9,show_32,Matched rail tag drama
profile_mia,drama,10,show_158,Matched rail tag drama
profile_mia,drama,11,show_164,Matched rail tag drama
profile_mia,drama,12,show_29,Matched rail tag drama
profile_mia,new_release,1,show_1,Matched rail tag new_release
profile_mia,new_release,2,show_10,Matched rail tag new_release
profile_mia,new_release,3,show_100,Matched rail tag new_release
profile_mia,new_release,4,show_101,Matched rail tag new_release
profile_mia,new_release,5,show_102,Matched rail tag new_release
profile_mia,new_release,6,show_103,Matched rail tag new_release
profile_mia,new_release,7,show_104,Matched rail tag new_release
profile_mia,new_release,8,show_105,Matched rail tag new_release
profile_mia,new_release,9,show_106,Matched rail tag new_release
profile_mia,new_release,10,show_107,Matched rail tag new_release
profile_mia,new_release,11,show_108,Matched rail tag new_release
profile_mia,new_release,12,show_109,Matched rail tag new_release
profile_mia,sci_fi,1,show_180,Matched rail tag sci_fi
profile_mia,sci_fi,2,show_82,Matched rail tag sci_fi
profile_mia,sci_fi,3,show_2,Matched rail tag sci_fi
profile_mia,sci_fi,4,show_204,Matched rail tag sci_fi
profile_mia,sci_fi,5,show_206,Matched rail tag sci_fi
profile_mia,sci_fi,6,show_216,Matched rail tag sci_fi
profile_mia,sci_fi,7,show_40,Matched rail tag sci_fi
profile_mia,sci_fi,8,show_166,Matched rail tag sci_fi
profile_mia,sci_fi,9,show_158,Matched rail tag sci_fi
profile_mia,sci_fi,10,show_61,Matched rail tag sci_fi
profile_mia,sci_fi,11,show_305,Matched rail tag sci_fi
profile_mia,sci_fi,12,show_64,Matched rail tag sci_fi
profile_mia,trending,1,show_169,Matched rail tag trending
profile_mia,trending,2,show_179,Matched rail tag trending
profile_mia,trending,3,show_180,Matched rail tag trending
profile_mia,trending,4,show_82,Matched rail tag trending
profile_mia,trending,5,show_118,Matched rail tag trending
profile_mia,trending,6,show_2,Matched rail tag trending
profile_mia,trending,7,show_204,Matched rail tag trending
profile_mia,trending,8,show_206,Matched rail tag trending
profile_mia,trending,9,show_216,Matched rail tag trending
profile_mia,trending,10,show_40,Matched rail tag trending
profile_mia,trending,11,show_106,Matched rail tag trending
profile_mia,trending,12,show_166,Matched rail tag trending
